04/10/2022,"Reference: AT221010006000010178502"," 8.04","PHARMAPRIX #1847 QUEBEC","",
04/12/2022,"Reference: AT221030006000010193158"," 15.70","AUDIBLE CA*1A8AC33Q0 AMZN.COM/BILL","",
04/13/2022,"Reference: AT221040006000010189887"," 12.09","PHARMAPRIX #1847 QUEBEC","",
04/14/2022,"Reference: AT221040006000010163629"," 5.54","SPOTIFY STOCKHOLM","",
04/17/2022,"Reference: AT221070006000010162370"," 18.30","NETFLIX.COM 866-716-0414","",
04/20/2022,"Reference: AT221110005000010178295"," 38.48","FROAMGERIE VICTORIA 001 LEVIS","",
04/20/2022,"Reference: AT221100003000010001778"," -270.99","PAYMENT RECEIVED - THANK YOU","",
03/14/2022,"Reference: AT220730006000010174337"," 5.54","SPOTIFY STOCKHOLM","",
03/15/2022,"Reference: AT220750006000010150864"," 14.94","AMZN MKTP CA*1Z56I49B0 WWW.AMAZON.CA","",
03/16/2022,"Reference: AT220760006000010155038"," -121.00","RW #2499 MONTREAL","",
03/17/2022,"Reference: AT220760006000010186417"," 16.64","NETFLIX.COM 866-716-0414","",
03/19/2022,"Reference: AT220790008000010195176"," 41.28","RW & CO. #2245 QUEBEC","",
03/20/2022,"Reference: AT220790006000010001987"," -1888.42","PAYMENT RECEIVED - THANK YOU","",
03/21/2022,"Reference: AT220810006000010144110"," -12.70","TAXIS COOP CM QUEBEC","",
03/21/2022,"Reference: AT220820006000010183175"," 52.49","UW PRINT + RETAIL SO WATERLOO","",
03/25/2022,"Reference: AT220850005000010186915"," 27.58","CINEPLEX #8030 WEB QP 416-323-6600","",
03/25/2022,"Reference: AT220850005000010188128"," 41.59","DOORDASH*FROMAGERIE VI DOWNTOWN TORONT","",
03/26/2022,"Reference: AT220870006000010157275"," 14.36","PHARMAPRIX #1847 QUEBEC","",
03/28/2022,"Reference: AT220870006000010192096"," 563.38","AIRBNB * HMBKAEQXRW LONDON","",
03/29/2022,"Reference: AT220880007000010008183"," -563.38","PAYMENT RECEIVED - THANK YOU","",
03/30/2022,"Reference: AT220900006000010185036"," 274.79","APPLE.COM/CA TORONTO","",
04/01/2022,"Reference: AT220920007000010190326"," 1.43","APPLE.COM/BILL TORONTO","",
04/07/2022,"Reference: AT220980005000010162008"," 91.97","AMZN MKTP CA*1A1I04AC1 WWW.AMAZON.CA","",
04/09/2022,"Reference: AT220990006000010186586"," -274.79","APPLE.COM/CA TORONTO","",
04/10/2022,"Reference: 10000000010110999905290"," 12.99","MEMBERSHIP FEE INSTALLMENT","",
02/11/2022,"Reference: AT220430006000010189529"," 12.45","TAXIS COOP CM QUEBEC","",
02/14/2022,"Reference: AT220450006000010155924"," 5.54","SPOTIFY STOCKHOLM","",
02/17/2022,"Reference: AT220490005000010153865"," 12.54","AMAZON.CA*QM4UG78Q3 AMAZON.CA","",
02/17/2022,"Reference: AT220480006000010144651"," 16.64","NETFLIX.COM 866-716-0414","",
02/18/2022,"Reference: AT220520006000010190698"," 39.34","KRWN - ST ROCH ST-ROCH","",
02/19/2022,"Reference: AT220510006000010174689"," 6.38","STARBUCKS COFFEE #47 QUEBEC CITY","",
02/21/2022,"Reference: AT220520006000010166884"," -33.33","AMZ*ZMUIPNG WWW.AMAZON.CA","",
02/23/2022,"Reference: AT220540006000010162486"," 10.35","DOLLAR SHAVE CLUB CANAD VANCOUVER","",
02/25/2022,"Reference: AT220560006000010179201"," 754.00","AIRBNB * HMBKAEQXRW LONDON","",
02/26/2022,"Reference: AT220580005000010167677"," 227.08","JJ GALERIES DE LA CAPIT QUEBEC","",
02/26/2022,"Reference: AT220580005000010156652"," 25.06","LE COCHON DINGUE (LEBOU QUEBEC","",
02/27/2022,"Reference: AT220590006000010188114"," 16.12","AMAZON.CA*1I5SU6UK0 AMAZON.CA","",
02/28/2022,"Reference: AT220600005000010163781"," 26.43","PHARMAPRIX #1847 QUEBEC","",
02/28/2022,"Reference: AT220600005000010185943"," 141.45","RW #2499 MONTREAL","",
03/01/2022,"Reference: AT220620006000010205817"," 1.43","APPLE.COM/BILL TORONTO","",
03/04/2022,"Reference: AT220640006000010160510"," 27.70","CICCIO CAFE 105190574 QUEBEC","",
03/05/2022,"Reference: AT220640006000010190512"," 19.25","UBER TRIP TORONTO","",
03/06/2022,"Reference: AT220650006000010209438"," 22.04","AMZN MKTP CA*1W93E3WY1 WWW.AMAZON.CA","",
03/07/2022,"Reference: AT220670005000010179422"," 13.10","2971-4243 QUEBEC INC QUEBEC","",
03/08/2022,"Reference: AT220680006000010136567"," 32.18","AMAZON.CA*1Z9E22AN1 AMAZON.CA","",
03/10/2022,"Reference: 10000000010110999905280"," 12.99","MEMBERSHIP FEE INSTALLMENT","",
02/11/2022,"Reference: AT220430006000010187548"," 16.02","PETROCAN YORKTON","",
02/12/2022,"Reference: AT220430006000010180662"," 130.28","WAL-MART 3077 REGINA","",
02/15/2022,"Reference: AT220470005000010143524"," 6.77","WAL-MART 3176 YORKTON","",
02/19/2022,"Reference: AT220510006000010180689"," 174.97","WAL-MART 3077 REGINA","",
02/21/2022,"Reference: AT220530006000010128044"," 3.64","WAL-MART 3176 YORKTON","",
02/27/2022,"Reference: AT220580005000010208515"," 145.07","WAL-MART 3077 REGINA","",
03/06/2022,"Reference: AT220660006000010182257"," 45.56","REGINA CABS DISCOUNT GA REGINA","",
03/06/2022,"Reference: AT220670005000010160527"," 64.00","SAFEWAY #4891 REGINA REGINA","",
03/06/2022,"Reference: AT220650006000010211914"," 3.03","WAL-MART 3077 REGINA","",
